local_num,X_Coord,Y_Coord,codeHallNm,codeHeatNm,codeMgrNm,codeSaleNm,hoCnt,kaptMarea,kaptTarea,age,kaptdaCnt,privArea,apt_elect_202001,apt_elect_202002,apt_elect_202003,apt_elect_202004,apt_elect_202005,apt_elect_202006,apt_elect_202007,apt_elect_202008,apt_elect_202009,apt_elect_202010,apt_elect_202011,apt_elect_202012,data_div_parea_elect_2020_average,pblntfPclnd,Grade,HGLG
288,127.058593,37.28996966,계단식,개별난방,위탁관리,분양,423,52506.3,52968.57,14,423,41266.0106,478.9719121,492.629399,465.3718574,507.0623425,469.3363792,468.9282952,462.3102578,421.7933778,743.3759541,471.4582223,461.8900573,461.6797147,492.0673141,1001000,0.665322581,MID
289,127.4912389,37.25532142,복도식,개별난방,위탁관리,분양,465,33500.025,34040.23,24,465,22000.8,481.2025017,463.081797,510.1700847,444.6224683,404.148031,453.5144177,403.8366787,552.835806,414.8299153,443.3420603,440.9430566,567.5134541,465.0033559,768000,0.760080645,MID
290,128.6845949,34.86615969,계단식,개별난방,위탁관리,분양,313,34435.5689,48319.99,15,313,26548.18,176.8378096,124.3739496,123.8246087,535.5965644,492.9371806,520.4960566,447.6935895,574.3159418,657.3595629,481.9441483,499.8813478,541.5471042,431.4006553,3850000,0.139112903,LG
291,126.950156,37.58632871,혼합식,중앙난방,위탁관리,분양,555,74736.6,74865.82,37,555,61628.4,649.1463351,616.7550999,464.3110968,452.7172537,391.0578564,439.5369667,362.2818376,559.8321553,466.3241298,388.4906958,460.6627788,679.1499536,494.1888466,10300000,0.024193548,LG
292,127.1302606,37.50002906,복도식,개별난방,위탁관리,임대,734,33970.254,39152,22,736,23912.64,661.5444802,586.5621278,605.9341001,525.8274703,521.9102115,531.0685897,526.4019782,593.7725822,468.6157614,513.8056275,487.2155479,658.600556,556.7715861,4686000,0.096774194,LG
293,127.0748226,37.62769529,계단식,개별난방,위탁관리,국민임대,290,15897.7,22114.194,15,290,15897.7,569.8522428,569.3886537,507.6627437,530.7012964,473.3275883,507.5451166,414.2530052,645.1511854,555.6344628,441.5255037,493.6361864,518.2340842,518.9093391,467200,0.901209677,HG
295,127.7141286,37.86954218,혼합식,중앙난방,위탁관리,분양,342,37441.8,44903.747,25,342,28664.7,472.4402139,480.8628034,445.3899047,453.7603045,419.3645145,448.5543892,381.5795386,473.6631815,590.1530803,392.9471092,434.5316016,446.314596,453.2967698,3216000,0.199596774,LG
296,126.6797368,37.49140706,계단식,개별난방,위탁관리,분양,360,36084.858,36157.046,20,360,24491.76,563.8965922,582.5183654,542.6919094,561.0021493,497.5885767,516.4312405,434.6086194,581.5417104,583.0328241,502.2648434,548.0018586,584.5080141,541.5072253,1395000,0.506048387,MID
297,127.3745474,36.34918818,계단식,개별난방,위탁관리,분양,540,41542.74,46911.4,21,540,32326.1,608.1769839,605.1147525,555.3422776,563.384386,515.6737126,531.8501149,473.0007641,560.9699283,687.3872815,479.8608555,538.4862387,562.9107749,556.8465059,777500,0.754032258,MID
298,127.1254181,35.86455444,복도식,지역난방,위탁관리,분양,997,53781.817,90537.9,22,997,54010.76,530.5953851,496.5179161,535.6325295,479.4185455,482.0956047,528.6194825,446.5969374,663.6953451,484.1390864,472.7334331,499.6863588,573.482395,516.1010849,5477000,0.074596774,LG
299,127.0684762,36.74805241,계단식,개별난방,위탁관리,분양,1085,106669.8356,141466,22,1085,83729.07,480.138738,492.8375533,466.0644147,499.8059814,450.7987489,452.1465484,474.1700821,403.8648703,694.9065599,465.6564321,441.4770163,451.2288265,481.0913143,2420000,0.29233871,MID
300,126.9381043,35.15046011,혼합식,개별난방,위탁관리,분양,295,30022.95,33514.28,25,295,24103.6,564.2194112,571.8693473,518.3341907,513.7195274,455.9003634,450.0684545,473.2496391,443.8150318,630.4506381,446.1043164,461.9343169,500.6057186,502.5225796,3605000,0.159274194,LG
301,126.8005291,37.67138523,계단식,개별난방,자치관리,분양,420,37987.4,38136,28,420,30678.86,99.8081415,100.5803345,91.54121111,79.15124617,74.29480756,81.11057582,95.80864478,98.57308909,94.42039241,73.03661218,77.30371989,92.50702275,88.17798315,432000,0.915322581,HG
302,128.7333823,36.57990771,계단식,지역난방,위탁관리,임대,701,77149.4838,111001.98,8,701,58254.82,636.7159833,712.4006906,603.5769401,632.2022109,584.7014891,605.7233719,687.380718,644.6496616,1012.448584,566.8730931,643.8459513,715.7428347,670.521794,3033000,0.221774194,MID
303,127.2390539,37.64971668,타워형,개별난방,위탁관리,분양,237,26991.69,35422.349,11,237,20136.6774,815.1513616,833.378301,763.379166,786.5547868,622.5267332,616.9364366,751.4342957,616.8351289,1120.086971,730.1522345,621.9169007,704.2318709,748.5486823,1260000,0.554435484,MID
304,128.5473788,35.86512317,계단식,개별난방,위탁관리,분양,630,78995.5482,79532,9,630,44329.6742,666.6954029,624.9588002,656.0197097,594.1643036,592.1875239,622.954725,604.8481177,1280.448842,625.8845909,565.0143037,598.9520672,718.1683731,679.1913967,1144000,0.602822581,MID
305,128.5330112,36.87526819,혼합식,개별난방,위탁관리,분양,939,102766.07,128749.57,21,939,80719.1,547.1014915,511.3550201,539.7110349,487.7221129,484.4149278,502.8229998,432.8707951,629.3936751,482.6935508,477.5433324,497.1194798,575.6946126,514.0369194,5817000,0.066532258,LG
306,126.925632,35.18616716,복도식,기타,위탁관리,분양,210,21360.9,21360.9,35,210,15626.86,450.3572695,456.6931552,433.7173303,450.4826945,403.7375391,397.4470879,433.0236529,369.5150529,592.5541024,385.9687743,396.178119,429.2736993,433.2457064,9690000,0.030241935,LG
307,127.2973764,36.60459704,복도식,개별난방,위탁관리,분양,153,10946.07,18795.58,21,153,10946.07,615.9169455,580.8285531,497.7686055,935.6115939,972.0886126,539.1277417,446.4661746,584.6216953,586.5091307,469.7887004,530.5995668,598.9583476,613.1904723,3319000,0.177419355,LG
308,127.2065784,37.58661536,계단식,개별난방,위탁관리,분양,316,42492.6248,58268.931,16,316,34975.1396,542.474175,459.2564943,521.0145323,439.7091813,433.0510235,434.0128495,410.792642,708.8326246,468.0810481,436.0583024,449.3397362,451.8046298,479.5356032,1335000,0.526209677,MID
309,126.5029426,35.2708698,계단식,개별난방,위탁관리,분양,262,32548.7598,34193.58,29,262,25548.28,497.5606968,503.5219592,449.6791956,449.6322257,408.3167243,416.955662,354.3244398,418.6215276,484.8991791,406.8806198,342.1322296,459.1823794,432.6422366,695500,0.794354839,MID
310,127.1141162,36.82565396,계단식,개별난방,위탁관리,분양,358,34459.9,36523.34,25,358,25930.58,631.1428437,636.9772678,571.6127445,575.7183218,525.6322844,546.6402988,475.7197872,555.9134813,657.0042012,480.2234659,535.2999046,852.9134327,587.0665028,2030000,0.356854839,MID
311,127.0433395,37.51675479,복도식,개별난방,위탁관리,임대+분양,168,5610.037,5879.7255,9,153,2770.2567,793.2008611,788.814986,746.3604366,744.7613068,680.7961154,725.8099944,892.040077,967.0186882,1312.539015,679.8684035,669.4469866,682.4566113,806.9261235,2444000,0.286290323,MID
312,127.4550812,37.29237296,계단식,개별난방,위탁관리,분양,710,53966.39,54110.249,17,710,40310.68,552.8894576,553.7830173,505.5027601,534.8934823,487.8503662,519.8088943,463.5823558,538.9782559,673.3570359,460.6739455,499.149605,527.9881163,526.5381077,703100,0.788306452,MID
313,126.9312481,37.51141309,복도식,개별난방,위탁관리,임대,424,19289.92,20994.31,23,424,14034.02,354.1914576,383.8429759,364.0539204,356.7673411,329.7551236,312.3965906,307.5027683,328.5544698,380.4661815,298.8544979,340.7327337,326.02704,340.2620917,302000,0.949596774,HG
314,126.7187909,35.03689944,계단식,개별난방,자치관리,분양,314,42363.4,42363.4,30,314,34415.03,79.60475409,73.51090497,19.84162152,85.59109203,42.78624775,25.93343664,25.88462076,43.30288249,13.63009127,55.0064899,16.47390689,65.92032609,45.62386453,905000,0.703629032,MID
315,126.6408073,37.44983856,계단식,지역난방,위탁관리,분양,982,121392.278,121392.278,15,982,81406.85,535.8373405,538.0616005,495.930625,523.2368038,492.4088083,512.753288,501.6717881,525.0877537,774.4582919,487.5339115,499.7242861,518.2889401,533.7494531,1920000,0.399193548,MID
316,126.8711193,35.15693181,복도식,개별난방,자치관리,분양,311,22116.89,22116.89,26,310,14629.05,142.1097064,143.5800684,122.1521562,106.2392978,101.5363267,118.6194592,135.6150946,140.0801829,126.991158,103.0251452,119.560737,136.432646,124.6618315,316800,0.945564516,HG
317,127.6704465,34.749383,계단식,개별난방,위탁관리,분양,664,71226.767,91377.995,21,664,57231,534.1485733,545.5042547,506.5934721,519.16858,467.5996401,459.4522549,453.5834425,435.0955252,600.9157624,448.3787108,478.0990722,102.465482,462.5837308,2033000,0.352822581,MID
318,128.813775,35.17395304,계단식,개별난방,자치관리,분양,340,25124.8,25124.8,36,340,22733.6,51.47051061,37.47492698,29.92178977,28.54893198,26.65218003,30.90843509,31.95138473,34.53962417,30.98541366,28.23749868,31.29156843,36.50587676,33.20734508,1375000,0.512096774,MID
319,126.5342781,33.49120625,복도식,개별난방,자치관리,분양,294,18492,18608,27,294,13301.46,95.98570382,96.16012077,91.72978004,86.0251431,85.15756917,85.53421955,94.57307694,94.3708435,93.3874928,84.49523586,85.0425442,92.24025032,90.39183167,171000,0.985887097,HG
320,126.9182157,35.12645804,계단식,개별난방,자치관리,분양,320,33746.08,34389.79,27,320,27066.72,72.36007909,71.07917029,59.00936648,57.09336041,53.64964798,60.64052091,62.44310356,64.7991334,57.32131562,53.42021494,64.3325087,71.09247075,62.27007434,862100,0.721774194,MID
321,127.2982685,37.65858791,복도식,개별난방,위탁관리,분양,156,14319.8652,14361.94,32,156,10747.44,488.5489009,539.0437165,668.5582799,512.364805,547.0979135,457.3804553,498.9982731,467.6211265,544.6644038,680.5744438,462.3419158,557.0061336,535.3500306,700200,0.79233871,MID
322,129.1318518,35.17172064,혼합식,개별난방,위탁관리,분양,880,86026.2,99918.9,25,880,66837.72,542.1127471,541.2964416,486.1968661,486.4036356,442.4398379,474.3037315,418.6217004,498.6120113,561.8212291,430.6444026,486.4838298,540.2892259,492.4354716,3105000,0.215725806,MID
323,127.0645151,37.31772942,계단식,개별난방,위탁관리,분양,150,12743.805,20545.612,8,150,12744.054,573.3803388,593.9977969,528.1058916,533.628467,495.325114,512.998454,464.7116216,740.7462335,786.8979526,475.9545118,516.7507922,552.7605266,564.6048084,186300,0.983870968,HG
324,126.8138264,37.466771,계단식,개별난방,위탁관리,분양,298,35848.548,45684.862,15,298,27399.154,542.9288072,521.8022425,511.0274573,529.6867925,487.0274462,500.9209408,506.5331579,507.3014298,778.9463135,466.4662274,505.1466188,520.6241039,531.5342948,1308000,0.534274194,MID
325,127.1461814,37.28073029,계단식,지역난방,위탁관리,분양,275,40608.05,63606.8,14,275,31921.68,704.022658,669.3991356,681.9192787,648.9542844,673.2580177,822.7170061,776.2974568,1194.407124,729.9192586,659.1769919,700.8408705,751.1050797,751.0014302,18600000,0.008064516,LG
326,127.9410257,36.96769177,계단식,개별난방,위탁관리,분양,694,53122.6,71433.977,24,694,53122.6,558.682557,506.6160165,524.0272502,458.7889147,464.000256,484.3345393,431.3670641,646.949321,477.4199681,476.6084491,498.1907889,562.0310376,507.4180136,1025000,0.659274194,MID
327,127.3930308,36.41727001,혼합식,개별난방,위탁관리,분양,278,30146.96,37875.62,22,278,23133.7,504.9567514,508.081284,466.3210814,486.7838262,447.189425,453.0978616,474.8165663,448.7806101,648.1941064,436.0788806,443.5853754,467.3858916,482.1059717,7600000,0.036290323,LG
328,127.0633508,37.61918223,계단식,개별난방,자치관리,분양,610,27471.03,33000,32,610,25573.5,11.97606898,11.97880619,11.45248011,8.056777524,7.410014273,5.73171447,6.71359024,6.638121493,8.932293194,7.57268266,6.472715897,7.234441903,8.347475577,456300,0.909274194,HG
329,128.9708437,35.07097907,혼합식,개별난방,위탁관리,분양,408,39494.4,44093.82,25,408,29874.27,579.3989276,583.620286,520.0796538,530.3818303,474.8373768,495.3634013,436.8357787,544.3105388,617.1066272,444.1266682,500.378754,549.7048129,523.0120546,1842000,0.419354839,MID
330,127.1367639,37.49976478,혼합식,개별난방,자치관리,분양,459,27004.97,35464,22,459,20082.715,445.2943738,443.2926524,391.9355525,408.2555571,375.7783746,390.5716931,389.7824572,502.1656683,545.3052538,349.5906803,390.3436363,412.3147692,420.3858891,657200,0.816532258,HG
331,127.026061,37.61253101,계단식,개별난방,위탁관리,분양,614,69845.36,87654.12,8,614,53498.3,745.0550765,759.4974046,694.1390661,731.9412019,613.6645464,715.090386,640.8461577,1065.025244,1084.683999,590.9165338,693.7407357,729.4242995,755.3353876,748600,0.766129032,MID
332,126.9599492,37.48928776,계단식,개별난방,위탁관리,분양,630,72800.679,98874.783,7,630,53381.8989,547.4900781,635.1881574,539.7670483,562.2445177,509.3945806,513.6351566,517.0539184,557.1735104,1102.893888,545.6259631,555.6576407,541.7124643,593.9864103,1178000,0.592741935,MID
333,127.1184193,37.33630042,계단식,개별난방,자치관리,분양,774,38153.36,38947.74,33,760,31186.3,40.1795019,38.23666161,35.67047069,33.27582945,33.38068318,35.63103029,41.79944399,45.23236165,37.19004819,30.97289515,36.61415429,37.60176744,37.14873732,1185000,0.584677419,MID
334,127.1383768,37.82569542,계단식,개별난방,자치관리,분양,299,36441.9,37269.97,29,299,28212.27,97.22968056,98.06938612,90.55315294,84.00033035,88.67524662,94.58969448,98.97502044,99.56837929,91.74695974,78.66506311,85.60140676,93.30302028,91.74811173,1891000,0.407258065,MID
335,129.0510219,35.16293069,계단식,개별난방,위탁관리,분양,758,79130.51,104004.9,16,758,59983.5044,583.6017644,538.8269879,575.1739307,523.2271824,539.5284474,555.1843516,484.5952282,782.2466771,528.5382759,531.0686383,537.4683977,607.3105492,565.5642026,1475000,0.485887097,MID
337,126.6821419,37.54799285,계단식,지역난방,위탁관리,분양,719,113023.51,149409.784,11,719,89716.667,637.6176458,596.967228,632.5202652,577.8800276,610.0564347,668.0598155,698.785656,1028.875047,639.8272687,624.5952048,640.3065553,725.2267853,673.3931612,3382000,0.171370968,LG
338,126.766375,37.60271657,계단식,개별난방,위탁관리,분양,672,103887.381,104312.63,10,672,56233.32,785.8143713,791.2542244,718.6215753,725.8347898,664.5668084,726.303302,685.3050647,857.4349158,1023.846822,647.8827144,726.8839364,786.0088645,761.6464491,2377000,0.304435484,MID
339,127.142103,36.82234187,계단식,중앙난방,위탁관리,분양,236,28632.79,45264.82,8,236,22465.38,704.3266573,718.7665199,679.1484497,709.208747,653.5180798,708.6745472,585.6639861,929.763752,829.4553219,646.9400473,745.8764998,775.1374337,723.8733368,2626000,0.260080645,MID
340,127.0940499,37.40055622,계단식,개별난방,위탁관리,분양,516,63878.607,87304.869,13,516,47188.591,588.3723038,584.1348389,535.7848044,555.7322108,553.1131455,537.215023,510.4803829,542.3552485,812.8962783,506.7991964,577.9678821,541.2106922,570.5051672,476300,0.893145161,HG
341,127.7655048,37.87902469,계단식,지역난방,위탁관리,분양,464,50629.7656,87154.203,14,464,50623.3176,620.2359207,631.9352725,556.2687579,587.5195742,541.233394,635.4781062,480.0925967,842.5328884,744.3293286,543.3306489,599.5442701,641.7268077,618.6856305,1045000,0.64516129,MID
342,129.0514415,35.16130938,혼합식,개별난방,위탁관리,분양,1281,137093.539,174649.34,21,1281,104126.02,515.1933206,566.2956099,510.1995063,524.1184192,482.2860511,550.2263699,458.653351,603.6056886,590.9519542,475.6470861,497.4424452,576.7828253,529.2835523,3241000,0.191532258,LG
343,128.2240854,37.14979631,계단식,개별난방,자치관리,분양,447,45253.1,46951.8,29,447,37112.235,71.69684068,71.74722837,65.1461708,57.90866543,55.6013401,59.48739007,69.26772263,71.65777,68.80668868,57.17036444,60.19739851,68.89938049,64.79891335,850700,0.725806452,MID
344,127.0438019,37.26996899,계단식,지역난방,위탁관리,분양,264,34030.32,34030.32,36,264,27679.2,665.7551519,611.4923842,621.7810486,485.4045637,437.252883,467.4806353,411.3153559,734.7148762,439.8382179,465.084251,588.1080378,3288.66947,768.0747396,11000000,0.022177419,LG
345,127.0922974,37.27434355,혼합식,개별난방,위탁관리,임대+분양,376,34583.664,52743.064,11,376,26707.48,703.2052444,706.1957923,643.9828842,666.1553243,621.2319545,688.1746237,624.3198535,838.8148189,855.644561,593.7437752,651.3081728,701.7233,691.2083587,4738000,0.094758065,LG
346,126.8751398,35.13790572,복도식,개별난방,위탁관리,임대,392,28443.52,28443.52,17,392,12689.04,557.6442347,547.7569619,450.4682781,447.7423036,375.6643529,450.9989723,401.889347,487.0617478,517.6766722,366.3586843,463.4211887,505.86648,464.379102,4602000,0.102822581,LG
347,127.6765201,34.75903486,혼합식,지역난방,위탁관리,분양,216,19279.3392,22591.57,26,216,14554.08,665.5597606,674.0274892,633.2389268,629.1898904,555.209948,587.2408287,477.6509405,669.0845454,663.3102195,530.3667425,621.7802843,659.5971714,613.8547289,4610000,0.100806452,LG
348,126.9735241,37.2253348,계단식,개별난방,위탁관리,국민임대,466,39983.8378,40102.521,16,466,27297.02,676.7471321,617.7817212,647.0611078,573.4138745,568.0850877,556.5948224,466.4531147,703.88819,559.9713815,573.8106211,581.1022595,683.3082879,600.6848,1398000,0.504032258,MID
349,129.0140748,35.25291704,계단식,개별난방,위탁관리,분양,544,71477.21,97584.24,14,544,52936.42,774.5629568,775.8711299,685.3825778,693.7924778,633.0615104,751.4510804,720.0169562,1160.6429,923.0741331,639.2406211,706.1219856,763.9711941,768.9324602,2876000,0.233870968,MID
350,126.785564,37.34218251,계단식,개별난방,위탁관리,분양,274,20641.9818,23124.993,16,274,16380.89825,509.3084563,505.5699555,458.690353,476.8944829,416.0382353,482.2958961,452.9318165,503.3968757,646.8149572,427.1627778,464.7791521,492.4482087,486.3609306,735500,0.774193548,MID
351,127.0620918,37.62092985,계단식,개별난방,위탁관리,분양,299,31227.2,42258.83,23,299,24747.06,583.5763925,585.0129268,519.0110664,543.2071527,492.544973,503.4505109,430.6842914,498.1739245,590.9255483,471.7376529,510.8780599,550.3962895,523.2998991,1598000,0.461693548,MID
