,apt_code,apt_name,X_Coord,Y_Coord,Count,bjdCode,도시형 생활주택,아파트,연립주택,주상복합,codeHallNm,분양,사택임대,영구국민임대,hoCnt,Priv/Ho,kaptDongCnt,kaptTarea,age,Temp_avg,Temp_min,Temp_max,kaptdaCnt,privArea,pblntfPclnd,Elec,Result
12415,A50602004,삼라미주.도산청암통합주공아파트,126.752666,37.69709957,2,2920010200,0,1,0,0,복도식,1,0,0,310,31.37516129,2,17052.02,26,14.16666667,10.1,18.8,310,9726.3,648000,382.6238309,4
12417,A61996115,정관이진캐스빌,128.5325659,35.27460287,2,2671025628,0,1,0,0,계단식,1,0,0,539,76.26159165,9,82232,7,13.975,9.283333333,19.525,539,41104.9979,1096000,590.9276748,4
12418,A30276304,양지타운,128.5144232,35.30127363,2,3017010300,0,1,0,0,혼합식,1,0,0,432,75.53421296,8,62215.156,29,12.18333333,7.125,17.86666667,432,32630.78,905000,73.83159397,4
12419,A62190505,대우그린,127.6473355,34.74379818,2,4825010800,0,1,0,0,계단식,1,0,0,504,74.52323214,8,49362.574,27,13.975,9.283333333,19.525,504,37559.709,1377000,489.261201,1
12420,A30113008,센트럴파크2단지아파트,129.2725034,35.55199622,1,3014011600,0,1,0,0,계단식,1,0,0,1089,108.9991116,13,204684.733,14,12.18333333,7.125,17.86666667,1089,118700.0325,1415000,574.6580236,0
12421,A40673002,송도풍림아이원4단지,127.3047085,36.38171289,1,2818510600,0,1,0,0,계단식,1,0,0,504,90.70207063,13,68333.136,16,12.71666667,8.758333333,17.19166667,504,45713.8436,3310000,605.1339975,4
12424,A42975619,시화아주,126.9260635,37.54634774,1,4139013200,0,1,0,0,혼합식,1,0,0,534,57.75769663,3,50678.415,27,12.71666667,8.758333333,17.19166667,534,30842.61,1528000,456.5010603,4
12426,A78077308,삼성강변타운,126.77285,37.77062515,2,4713036027,0,1,0,0,계단식,1,0,0,563,78.84905861,4,57751,25,13.375,8.508333333,18.88333333,563,44392.02,903000,457.2532086,1
12428,A13790620,한강,126.932907,37.63370767,2,1165010600,0,1,0,0,계단식,1,0,0,450,84.00666667,5,48239,32,12.71666667,8.758333333,17.19166667,450,37803,19260000,681.7647409,0
12430,A10028038,가락마을16단지(에듀그린),128.6893258,34.87271457,2,3611011200,0,1,0,0,계단식,1,0,0,463,75.67124622,6,64530.735,6,12.63333333,7.8,18.24166667,463,35035.787,1488000,632.5286533,1
12434,A14010001,용산아크로타워,127.3385638,36.37366098,2,1117012200,0,0,0,1,혼합식,1,0,0,208,105.635,2,46836,14,12.71666667,8.758333333,17.19166667,208,21972.08,11400000,891.9080867,6
12438,A13407202,명일삼환아파트,127.0512472,36.77073718,1,1174010100,0,1,0,0,계단식,1,0,0,306,84.92124183,2,36500,29,12.71666667,8.758333333,17.19166667,306,25985.9,7200000,666.4628702,4
12440,A13410010,강일리버파크7단지,127.0551287,37.58156857,2,1174011000,0,1,0,0,혼합식,1,0,0,731,56.16735978,11,80752.58,12,12.71666667,8.758333333,17.19166667,731,41058.34,6782000,682.4991402,5
12441,A13610005,정릉힐스테이트3차,127.1196963,37.70787472,2,1129013300,0,1,0,0,계단식,1,0,0,522,80.05279693,19,81104,13,12.71666667,8.758333333,17.19166667,522,41787.56,4210000,613.189328,4
12442,A13604401,삼선코오롱아파트,127.1086113,37.00069971,2,1129011400,0,1,0,0,혼합식,1,0,0,437,80.38709382,5,58308.69,22,12.71666667,8.758333333,17.19166667,437,35129.16,4440000,503.1120869,5
12443,A13980401,공릉신성미소지움,126.9659485,37.24557862,2,1135010300,0,1,0,0,계단식,1,0,0,198,88.17005051,2,28345.325,17,12.71666667,8.758333333,17.19166667,198,17457.67,3484000,442.4038928,2
12448,A61681501,덕천벽산아파트,127.0206962,36.90971405,2,2632010400,0,1,0,0,계단식,1,0,0,180,84.0575,1,21534.21,29,13.975,9.283333333,19.525,180,15130.35,1471000,468.0438655,4
12451,A13787102,서초2차e편한세상,126.8879628,37.45646252,2,1165010800,0,1,0,0,계단식,1,0,0,159,106.9014843,3,30500.465,16,12.71666667,8.758333333,17.19166667,159,16997.336,9335000,453.9850637,1
12453,A13592605,역삼e-편한세상,126.6257837,37.64087355,1,1168010100,0,1,0,0,계단식,1,0,0,840,69.50685119,12,116730.145,16,12.71666667,8.758333333,17.19166667,840,58385.755,20300000,798.8148536,0
12465,A61203004,좌동삼정코아,128.1832182,36.58223082,2,2635010700,0,0,0,1,혼합식,1,0,0,168,56.67424286,1,63013.33,18,13.975,9.283333333,19.525,168,9521.2728,3925000,756.7054043,0
12468,A58080005,상동 현대3차아파트,126.6407467,37.40097066,1,4518010300,0,1,0,0,계단식,1,0,0,430,72.4225814,3,44732.253,26,13.56666667,9.275,18.74166667,430,31141.71,368500,518.2035872,4
12469,A50010004,무등파크맨션,128.1273552,35.18887387,1,2917011400,0,1,0,0,계단식,1,0,0,402,84.86952736,2,42612,29,14.16666667,10.1,18.8,402,34117.55,795000,493.2197652,4
12472,A76034002,계림황제타운,127.255785,36.51249146,2,4717013200,0,1,0,0,계단식,1,0,0,180,72.386,2,17204.9,27,13.375,8.508333333,18.88333333,180,13029.48,299000,117.2866582,4
12474,A30183101,극동늘푸른,127.0382393,37.50930518,1,3014011200,0,1,0,0,계단식,1,0,0,260,67.98369231,5,28412.47,24,12.18333333,7.125,17.86666667,260,17675.76,993400,557.3364785,4
12475,A68071802,강변센트럴하이츠,127.1006048,37.20168163,1,3114010400,0,1,0,0,계단식,1,0,0,672,138.9585446,10,146139.822,10,13.975,9.283333333,19.525,672,93380.142,2527000,610.1458416,1
12477,A45015006,평택소사벌휴먼시아1단지,126.9214303,36.98714041,2,4122011800,0,1,0,0,복도식,0,0,1,1060,39.03379245,13,78123.04,9,12.71666667,8.758333333,17.19166667,1060,41375.82,1205000,441.3527917,5
12480,A41082801,정발산밤가시마을4단지건영빌라,127.5426968,37.21330959,1,4128510300,0,0,1,0,계단식,1,0,0,208,75.18307692,10,27038.67,25,12.71666667,8.758333333,17.19166667,208,15638.08,1594000,71.32296079,3
12481,A48370316,브라운스톤동두천,127.2093914,37.23414155,2,4125010300,0,0,0,1,계단식,1,0,0,278,79.53863309,4,45636.61,7,12.71666667,8.758333333,17.19166667,278,22111.74,1339000,794.9676657,4
13050,A10028065,미사강변도시 베라체 아파트,128.4801274,36.57998502,2,4145011200,0,1,0,0,계단식,1,0,0,615,81.8961626,8,94324.5,6,12.71666667,8.758333333,17.19166667,615,50366.14,4080000,623.1997446,0
